"Daily Weather Observations for Melbourne (Olympic Park), Victoria for February 2015",,,,,,,,,,,,,,,,,,,,,
Prepared at 23:38 UTC on Saturday 28 February 2015   IDCJDW3033.201502,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
"The closest station with evaporation and sunshine hours observations is at Bundoora 086351 , about 16 km to the north. The closest station with cloud observations is  Melbourne Regional Office 086071, about 4.5 km to the north-northeast.",,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Melbourne (Olympic Park) {station 086338},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
x,Date,Minimum temperature (¡C),Maximum temperature (¡C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (¡C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (¡C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,1/02/15,13.2,19,9.2,,,SSW,41,16:51,13.6,97,,WNW,9,1013.2,18.1,79,,SSW,20,1013.5
,2/02/15,13.5,21.1,3.8,,,SSW,43,17:28,17.3,73,,S,9,1019.4,20.5,67,,SSW,19,1020.3
,3/02/15,16.1,20,0,,,S,35,15:52,16.6,67,,SSW,7,1023.2,19.3,62,,SW,15,1021.3
,4/02/15,14.8,19,0,,,SSW,41,13:29,15.8,77,,S,9,1019.9,17.5,54,,SSW,17,1019.7
,5/02/15,13.3,24.2,0,,,SSW,35,15:58,16.4,70,,N,7,1023.6,23.6,58,,SW,13,1022.7
,6/02/15,14.5,35.7,0,,,SSE,24,16:49,19,73,,NNE,6,1025.3,34.4,27,,SSW,7,1020.7
,7/02/15,18.8,35,0,,,N,41,10:37,26.7,37,,N,19,1020.6,33.6,26,,NW,22,1017.4
,8/02/15,18.9,21.5,0,,,S,33,6:34,19.1,83,,S,15,1020.4,20.4,61,,SSW,13,1022.2
,9/02/15,13.6,28.3,0,,,SSW,31,13:35,16.8,62,,SSE,11,1025.2,22.5,61,,SW,17,1021.4
,10/02/15,16.4,27.8,0,,,SSW,31,12:12,20.2,74,, ,Calm,1022,26.1,54,,S,13,1019.3
,11/02/15,18.1,26.8,0,,,SSW,44,17:11,23.1,68,, ,Calm,1018.6,22.3,79,,SSW,22,1017.9
,12/02/15,17.8,21.9,0,,,SSW,35,14:19,18.4,65,,SE,13,1025.6,20.9,61,,SSW,15,1022.5
,13/02/15,16.1,32.4,0,,,W,35,15:07,20.9,71,,N,6,1021.8,31.7,31,,N,17,1018
,14/02/15,19,25.1,19.6,,,S,30,17:47,19.4,100,, ,Calm,1019.3,24.8,67,,S,11,1017.3
,15/02/15,18.2,34.4,0.4,,,NNE,20,21:05,19.7,79,,NNE,13,1015.8,32.4,33,,N,6,1012.4
,16/02/15,17.4,24.6,0,,,SSE,39,16:36,18.9,70,,WSW,9,1017,22.1,56,,S,15,1016.2
,17/02/15,17.6,20.6,0,,,SSW,30,17:10,17.8,76,,SSE,11,1017.9,19.6,71,,SSW,9,1017.1
,18/02/15,17.7,21.2,0,,,SSW,26,13:36,19,71,,SSE,7,1021,19.9,71,,S,13,1020.9
,19/02/15,18.2,26.9,0,,,SSW,28,14:35,19.3,85,,N,9,1018.6,25.4,61,,SW,13,1015.3
,20/02/15,17.4,25.3,0,,,SSW,35,13:09,21.3,76,, ,Calm,1016.1,23.4,77,,SSW,19,1015.4
,21/02/15,18.1,36.1,0,,,NW,37,10:40,20.3,79,,NE,9,1014.6,35.8,26,,N,11,1010.3
,22/02/15,20.3,35.3,1.6,,,N,41,10:02,26.6,48,,N,19,1013.3,34.1,34,,NNE,15,1011.4
,23/02/15,21.1,29.3,0,,,SSW,39,10:58,25.7,55,,NNE,9,1010.9,19.2,87,,S,13,1014.9
,24/02/15,15.9,20.1,3.2,,,SSE,41,12:34,18,52,,SSE,13,1020.6,19.3,47,,S,19,1019.7
,25/02/15,14,27,0,,,SE,31,18:31,16,83,,NE,6,1015.6,25.4,55,,SSW,11,1011.7
,26/02/15,16,23.2,0,,,SSW,28,15:08,18,82,,W,6,1010.8,22.2,58,,S,13,1010.2
,27/02/15,14.8,24.3,0,,,SSW,22,19:21,18.3,77,,NNE,4,1011.1,23.4,51,,SSW,13,1009.7
,28/02/15,17.9,32.3,0,,,W,48,19:28,19,75,,NNE,9,1006.9,28.4,34,,N,19,1002.7
