"","Item","Product.code","Station.Code","Year","Month","Day","Min","Max","Rain"
"1",1,"IDCJAC0011",86071,1855,1,1,NA,NA,NA
"2",2,"IDCJAC0011",86071,1855,1,2,NA,NA,NA
"3",3,"IDCJAC0011",86071,1855,1,3,NA,NA,NA
"4",4,"IDCJAC0011",86071,1855,1,4,NA,NA,NA
"5",5,"IDCJAC0011",86071,1855,1,5,NA,NA,NA
"6",6,"IDCJAC0011",86071,1855,1,6,NA,NA,NA
"7",7,"IDCJAC0011",86071,1855,1,7,NA,NA,NA
"8",8,"IDCJAC0011",86071,1855,1,8,NA,NA,NA
"9",9,"IDCJAC0011",86071,1855,1,9,NA,NA,NA
"10",10,"IDCJAC0011",86071,1855,1,10,NA,NA,NA
"11",11,"IDCJAC0011",86071,1855,1,11,NA,NA,NA
"12",12,"IDCJAC0011",86071,1855,1,12,NA,NA,NA
"13",13,"IDCJAC0011",86071,1855,1,13,NA,NA,NA
"14",14,"IDCJAC0011",86071,1855,1,14,NA,NA,NA
"15",15,"IDCJAC0011",86071,1855,1,15,NA,NA,NA
"16",16,"IDCJAC0011",86071,1855,1,16,NA,NA,NA
"17",17,"IDCJAC0011",86071,1855,1,17,NA,NA,NA
"18",18,"IDCJAC0011",86071,1855,1,18,NA,NA,NA
"19",19,"IDCJAC0011",86071,1855,1,19,NA,NA,NA
"20",20,"IDCJAC0011",86071,1855,1,20,NA,NA,NA
"21",21,"IDCJAC0011",86071,1855,1,21,NA,NA,NA
"22",22,"IDCJAC0011",86071,1855,1,22,NA,NA,NA
"23",23,"IDCJAC0011",86071,1855,1,23,NA,NA,NA
"24",24,"IDCJAC0011",86071,1855,1,24,NA,NA,NA
"25",25,"IDCJAC0011",86071,1855,1,25,NA,NA,NA
"26",26,"IDCJAC0011",86071,1855,1,26,NA,NA,NA
"27",27,"IDCJAC0011",86071,1855,1,27,NA,NA,NA
"28",28,"IDCJAC0011",86071,1855,1,28,NA,NA,NA
"29",29,"IDCJAC0011",86071,1855,1,29,NA,NA,NA
"30",30,"IDCJAC0011",86071,1855,1,30,NA,NA,NA
"31",31,"IDCJAC0011",86071,1855,1,31,NA,NA,NA
"32",32,"IDCJAC0011",86071,1855,2,1,NA,NA,NA
"33",33,"IDCJAC0011",86071,1855,2,2,NA,NA,NA
"34",34,"IDCJAC0011",86071,1855,2,3,NA,NA,NA
"35",35,"IDCJAC0011",86071,1855,2,4,NA,NA,NA
"36",36,"IDCJAC0011",86071,1855,2,5,NA,NA,NA
"37",37,"IDCJAC0011",86071,1855,2,6,NA,NA,NA
"38",38,"IDCJAC0011",86071,1855,2,7,NA,NA,NA
"39",39,"IDCJAC0011",86071,1855,2,8,NA,NA,NA
"40",40,"IDCJAC0011",86071,1855,2,9,NA,NA,NA
"41",41,"IDCJAC0011",86071,1855,2,10,NA,NA,NA
"42",42,"IDCJAC0011",86071,1855,2,11,NA,NA,NA
"43",43,"IDCJAC0011",86071,1855,2,12,NA,NA,NA
"44",44,"IDCJAC0011",86071,1855,2,13,NA,NA,NA
"45",45,"IDCJAC0011",86071,1855,2,14,NA,NA,NA
"46",46,"IDCJAC0011",86071,1855,2,15,NA,NA,NA
"47",47,"IDCJAC0011",86071,1855,2,16,NA,NA,NA
"48",48,"IDCJAC0011",86071,1855,2,17,NA,NA,NA
"49",49,"IDCJAC0011",86071,1855,2,18,NA,NA,NA
